"";"Location";"Depth";"material_class";"count";"percentage"
"1";"UNB-1";"0-5cm";"cellulose derivatives (ether cellulose)";1;3,125
"2";"UNB-1";"0-5cm";"ethylene-vinyl acetate";1;3,125
"3";"UNB-1";"0-5cm";"poly(acrylamide/amid)s";1;3,125
"4";"UNB-1";"0-5cm";"poly(ethylene)";4;12,5
"5";"UNB-1";"0-5cm";"poly(propylene)";11;34,375
"6";"UNB-1";"0-5cm";"polyhaloolefins (vinylhalides)";1;3,125
"7";"UNB-1";"0-5cm";"polymethacrylates";1;3,125
"8";"UNB-1";"0-5cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";11;34,375
"9";"UNB-1";"0-5cm";"polyvinylesters";1;3,125
"10";"UNB-1";"05-10cm";"cellulose derivatives (ether cellulose)";1;4
"11";"UNB-1";"05-10cm";"poly(acrylamide/amid)s";3;12
"12";"UNB-1";"05-10cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";1;4
"13";"UNB-1";"05-10cm";"poly(ethylene)";7;28
"14";"UNB-1";"05-10cm";"poly(propylene)";9;36
"15";"UNB-1";"05-10cm";"polydienes (butadienes, isoprenes)";1;4
"16";"UNB-1";"05-10cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";3;12
"17";"UNB-1";"10-15cm";"poly(acrylamide/amid)s";1;10
"18";"UNB-1";"10-15cm";"poly(ethylene)";2;20
"19";"UNB-1";"10-15cm";"poly(propylene)";2;20
"20";"UNB-1";"10-15cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";5;50
"21";"UNB-1";"15-20cm";"cellulose derivatives (ether cellulose)";1;6,66666666666667
"22";"UNB-1";"15-20cm";"poly(acrylamide/amid)s";5;33,3333333333333
"23";"UNB-1";"15-20cm";"polydienes (butadienes, isoprenes)";1;6,66666666666667
"24";"UNB-1";"15-20cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";8;53,3333333333333
"25";"UNB-1";"20-25cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";1;9,09090909090909
"26";"UNB-1";"20-25cm";"poly(ethylene)";1;9,09090909090909
"27";"UNB-1";"20-25cm";"poly(propylene)";4;36,3636363636364
"28";"UNB-1";"20-25cm";"polyacrylonitriles (nitriles)";1;9,09090909090909
"29";"UNB-1";"20-25cm";"polyhaloolefins (vinylhalides)";1;9,09090909090909
"30";"UNB-1";"20-25cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";3;27,2727272727273
"31";"UNB-1";"25-30cm";"poly(ethylene)";1;50
"32";"UNB-1";"25-30cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";1;50
"33";"UNB-1";"30-35cm";"poly(ethylene)";1;50
"34";"UNB-1";"30-35cm";"polydienes (butadienes, isoprenes)";1;50
"35";"UNB-1";"35-40cm";"poly(propylene)";1;25
"36";"UNB-1";"35-40cm";"polyhaloolefins (vinylhalides)";1;25
"37";"UNB-1";"35-40cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";2;50
"38";"UNB-2";"0-5cm";"cellulose derivatives (ether cellulose)";4;6,25
"39";"UNB-2";"0-5cm";"poly(acrylamide/amid)s";5;7,8125
"40";"UNB-2";"0-5cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";3;4,6875
"41";"UNB-2";"0-5cm";"poly(ethylene)";12;18,75
"42";"UNB-2";"0-5cm";"poly(propylene)";31;48,4375
"43";"UNB-2";"0-5cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";9;14,0625
"44";"UNB-2";"05-10cm";"cellulose derivatives (ether cellulose)";2;3,63636363636364
"45";"UNB-2";"05-10cm";"poly(acrylamide/amid)s";5;9,09090909090909
"46";"UNB-2";"05-10cm";"poly(ethylene)";5;9,09090909090909
"47";"UNB-2";"05-10cm";"poly(propylene)";9;16,3636363636364
"48";"UNB-2";"05-10cm";"polyacrylonitriles (nitriles)";1;1,81818181818182
"49";"UNB-2";"05-10cm";"polydienes (butadienes, isoprenes)";1;1,81818181818182
"50";"UNB-2";"05-10cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";31;56,3636363636364
"51";"UNB-2";"05-10cm";"polyvinylesters";1;1,81818181818182
"52";"UNB-2";"10-15cm";"poly(acrylamide/amid)s";2;11,7647058823529
"53";"UNB-2";"10-15cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";2;11,7647058823529
"54";"UNB-2";"10-15cm";"poly(ethylene)";2;11,7647058823529
"55";"UNB-2";"10-15cm";"poly(propylene)";4;23,5294117647059
"56";"UNB-2";"10-15cm";"polyhaloolefins (vinylhalides)";2;11,7647058823529
"57";"UNB-2";"10-15cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";5;29,4117647058824
"58";"UNB-2";"15-20cm";"cellulose derivatives (ether cellulose)";1;2,22222222222222
"59";"UNB-2";"15-20cm";"poly(acrylamide/amid)s";4;8,88888888888889
"60";"UNB-2";"15-20cm";"poly(ethylene)";6;13,3333333333333
"61";"UNB-2";"15-20cm";"poly(propylene)";2;4,44444444444444
"62";"UNB-2";"15-20cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";32;71,1111111111111
"63";"UNB-2";"20-25cm";"poly(acrylamide/amid)s";2;11,7647058823529
"64";"UNB-2";"20-25cm";"poly(ethylene)";4;23,5294117647059
"65";"UNB-2";"20-25cm";"poly(propylene)";4;23,5294117647059
"66";"UNB-2";"20-25cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";7;41,1764705882353
"67";"UNB-2";"25-30cm";"cellulose derivatives (ether cellulose)";1;4,34782608695652
"68";"UNB-2";"25-30cm";"poly(acrylamide/amid)s";3;13,0434782608696
"69";"UNB-2";"25-30cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";3;13,0434782608696
"70";"UNB-2";"25-30cm";"poly(ethylene)";2;8,69565217391304
"71";"UNB-2";"25-30cm";"polyacrylonitriles (nitriles)";1;4,34782608695652
"72";"UNB-2";"25-30cm";"polycarbonates";1;4,34782608695652
"73";"UNB-2";"25-30cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";12;52,1739130434783
"74";"UNB-2";"35-40cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";1;100
"75";"UNB-2";"40-45cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";1;50
"76";"UNB-2";"40-45cm";"poly(ethylene)";1;50
"77";"UNB-3";"0-5cm";"poly(acrylamide/amid)s";8;13,7931034482759
"78";"UNB-3";"0-5cm";"poly(ethylene)";12;20,6896551724138
"79";"UNB-3";"0-5cm";"poly(propylene)";22;37,9310344827586
"80";"UNB-3";"0-5cm";"polyhydroxy(meth)acrylates";1;1,72413793103448
"81";"UNB-3";"0-5cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";14;24,1379310344828
"82";"UNB-3";"0-5cm";"polyurethanes (isocyanates)";1;1,72413793103448
"83";"UNB-3";"05-10cm";"cellulose derivatives (ether cellulose)";1;1,11111111111111
"84";"UNB-3";"05-10cm";"poly(acrylamide/amid)s";34;37,7777777777778
"85";"UNB-3";"05-10cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";1;1,11111111111111
"86";"UNB-3";"05-10cm";"poly(ethylene)";8;8,88888888888889
"87";"UNB-3";"05-10cm";"poly(propylene)";11;12,2222222222222
"88";"UNB-3";"05-10cm";"polyhaloolefins (vinylhalides)";3;3,33333333333333
"89";"UNB-3";"05-10cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";32;35,5555555555556
"90";"UNB-3";"10-15cm";"poly(acrylamide/amid)s";2;5,26315789473684
"91";"UNB-3";"10-15cm";"poly(ethylene)";6;15,7894736842105
"92";"UNB-3";"10-15cm";"poly(propylene)";5;13,1578947368421
"93";"UNB-3";"10-15cm";"polydienes (butadienes, isoprenes)";2;5,26315789473684
"94";"UNB-3";"10-15cm";"polyhaloolefins (vinylhalides)";1;2,63157894736842
"95";"UNB-3";"10-15cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";22;57,8947368421053
"96";"UNB-3";"15-20cm";"cellulose derivatives (ether cellulose)";4;11,1111111111111
"97";"UNB-3";"15-20cm";"poly(acrylamide/amid)s";7;19,4444444444444
"98";"UNB-3";"15-20cm";"poly(ethylene)";6;16,6666666666667
"99";"UNB-3";"15-20cm";"poly(propylene)";6;16,6666666666667
"100";"UNB-3";"15-20cm";"polyhaloolefins (vinylhalides)";2;5,55555555555556
"101";"UNB-3";"15-20cm";"polyhydroxy(meth)acrylates";1;2,77777777777778
"102";"UNB-3";"15-20cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";10;27,7777777777778
"103";"UNB-3";"20-25cm";"poly(acrylamide/amid)s";7;31,8181818181818
"104";"UNB-3";"20-25cm";"poly(ethylene)";3;13,6363636363636
"105";"UNB-3";"20-25cm";"poly(propylene)";3;13,6363636363636
"106";"UNB-3";"20-25cm";"polyacrylonitriles (nitriles)";2;9,09090909090909
"107";"UNB-3";"20-25cm";"polyhaloolefins (vinylhalides)";1;4,54545454545455
"108";"UNB-3";"20-25cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";6;27,2727272727273
"109";"UNB-3";"25-30cm";"poly(acrylamide/amid)s";4;15,3846153846154
"110";"UNB-3";"25-30cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";2;7,69230769230769
"111";"UNB-3";"25-30cm";"poly(ethylene)";4;15,3846153846154
"112";"UNB-3";"25-30cm";"poly(propylene)";3;11,5384615384615
"113";"UNB-3";"25-30cm";"polyacrylonitriles (nitriles)";2;7,69230769230769
"114";"UNB-3";"25-30cm";"polyhaloolefins (vinylhalides)";1;3,84615384615385
"115";"UNB-3";"25-30cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";10;38,4615384615385
"116";"UNB-3";"30-35cm";"poly(acrylamide/amid)s";11;68,75
"117";"UNB-3";"30-35cm";"poly(ethylene)";1;6,25
"118";"UNB-3";"30-35cm";"poly(propylene)";1;6,25
"119";"UNB-3";"30-35cm";"polyacrylonitriles (nitriles)";1;6,25
"120";"UNB-3";"30-35cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";2;12,5
"121";"UNB-3";"35-40cm";"poly(acrylamide/amid)s";1;33,3333333333333
"122";"UNB-3";"35-40cm";"poly(esters/ethers/diglycidylethers/terephthalates)s";1;33,3333333333333
"123";"UNB-3";"35-40cm";"poly(propylene)";1;33,3333333333333
"124";"UNB-3";"40-45cm";"poly(acrylamide/amid)s";3;50
"125";"UNB-3";"40-45cm";"poly(ethylene)";2;33,3333333333333
"126";"UNB-3";"40-45cm";"polyhaloolefins (vinylhalides)";1;16,6666666666667
"127";"UNB-3";"45-50cm";"poly(acrylamide/amid)s";3;23,0769230769231
"128";"UNB-3";"45-50cm";"poly(ethylene)";6;46,1538461538462
"129";"UNB-3";"45-50cm";"poly(propylene)";1;7,69230769230769
"130";"UNB-3";"45-50cm";"polyhaloolefins (vinylhalides)";2;15,3846153846154
"131";"UNB-3";"45-50cm";"polystyrenes (polyphenylethylenes, -methylstyrene)";1;7,69230769230769
