"";"material_class";"count";"percentage"
"1";"acrylonitrile butadiene styrene (abs)";21;10,6598984771574
"2";"cellulose derivatives (ether cellulose)";1;0,50761421319797
"3";"ethylene-vinyl acetate";1;0,50761421319797
"4";"poly(acrylamide/amid)s";5;2,53807106598985
"5";"poly(esters/ethers/diglycidylethers/terephthalates)s";97;49,238578680203
"6";"poly(propylene)";23;11,6751269035533
"7";"polyacrylonitriles (nitriles)";36;18,2741116751269
"8";"polyhaloolefins (vinylhalides)";2;1,01522842639594
"9";"polyhydroxy(meth)acrylates";5;2,53807106598985
"10";"polymethacrylates";4;2,03045685279188
"11";"polystyrenes (polyphenylethylenes, -methylstyrene)";2;1,01522842639594
